model_name,fold,best_epoch,validate_accuracy,validate_precision,validate_recall,validate_f1,validate_auroc,validate_average_precision,validate_TN,validate_FP,validate_FN,validate_TP,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_average_precision,test_TN,test_FP,test_FN,test_TP
medicalnet-18-2stage,1,42,0.8695651888847351,0.37956205010414124,0.4333333373069763,0.40466925501823425,0.8307850360870361,0.3775886297225952,968,85,68,52,0.8850837349891663,0.3435114622116089,0.40909090638160706,0.37344399094581604,0.8416565656661987,0.32382386922836304,1118,86,65,45
medicalnet-18-2stage,2,30,0.9048780202865601,0.48739495873451233,0.5087719559669495,0.497854083776474,0.8939272165298462,0.5380150079727173,1055,61,56,58,0.8866057991981506,0.3440000116825104,0.3909091055393219,0.36595743894577026,0.8315765857696533,0.30148157477378845,1122,82,67,43
medicalnet-18-2stage,3,49,0.8706070184707642,0.32413792610168457,0.4234234094619751,0.3671875,0.8442965149879456,0.34148260951042175,1043,98,64,47,0.8713850975036621,0.30201342701911926,0.40909090638160706,0.3474903404712677,0.837367832660675,0.33937108516693115,1100,104,65,45
medicalnet-18-2stage,4,12,0.9204354882240295,0.5316455960273743,0.41999998688697815,0.46927374601364136,0.87220299243927,0.4759257137775421,1057,37,58,42,0.8904109597206116,0.2976190447807312,0.22727273404598236,0.25773194432258606,0.8371715545654297,0.272028386592865,1145,59,85,25
medicalnet-34-2stage,1,37,0.8729752898216248,0.37168142199516296,0.3499999940395355,0.3605150282382965,0.8400681018829346,0.341582328081131,982,71,78,42,0.8926940560340881,0.3798449635505676,0.44545453786849976,0.41004183888435364,0.8194126486778259,0.37349772453308105,1124,80,61,49
medicalnet-34-2stage,2,26,0.9130081534385681,0.5368421077728271,0.44736841320991516,0.4880382716655731,0.8725005388259888,0.4778115749359131,1072,44,63,51,0.9071537256240845,0.4318181872367859,0.34545454382896423,0.38383838534355164,0.8423286080360413,0.3538176715373993,1154,50,72,38
medicalnet-34-2stage,3,27,0.8889776468276978,0.390625,0.45045045018196106,0.4184100329875946,0.8567006587982178,0.42364054918289185,1063,78,61,50,0.8774733543395996,0.32413792610168457,0.4272727370262146,0.3686274588108063,0.8524614572525024,0.3521616756916046,1106,98,63,47
medicalnet-34-2stage,4,48,0.9195979833602905,0.5270270109176636,0.38999998569488525,0.4482758641242981,0.8663161993026733,0.5173357129096985,1059,35,61,39,0.9033485651016235,0.3396226465702057,0.16363635659217834,0.22085890173912048,0.7933252453804016,0.2974502742290497,1169,35,92,18
medicalnet-50-2stage,1,31,0.8806478977203369,0.4137931168079376,0.4000000059604645,0.4067796468734741,0.8209719061851501,0.38065579533576965,985,68,72,48,0.8691020011901855,0.2651515007019043,0.3181818127632141,0.28925618529319763,0.8172003030776978,0.2806238532066345,1107,97,75,35
medicalnet-50-2stage,2,17,0.9032520055770874,0.4691357910633087,0.3333333432674408,0.3897435963153839,0.8734514713287354,0.4560178518295288,1073,43,76,38,0.8850837349891663,0.26966291666030884,0.2181818187236786,0.24120603501796722,0.8361220359802246,0.25460392236709595,1139,65,86,24
medicalnet-50-2stage,3,37,0.8953673839569092,0.375,0.2702702581882477,0.3141361176967621,0.8325951099395752,0.3132949471473694,1091,50,81,30,0.9025875329971313,0.32692307233810425,0.15454545617103577,0.20987653732299805,0.8231274485588074,0.2634948492050171,1169,35,93,17
medicalnet-50-2stage,4,28,0.9078726768493652,0.4590163826942444,0.5600000023841858,0.5045045018196106,0.8801097273826599,0.5590052008628845,1028,66,44,56,0.8820395469665527,0.3509933650493622,0.48181816935539246,0.40613025426864624,0.8345364332199097,0.3539154827594757,1106,98,57,53
resnet3d-18-2stage,1,6,0.8738278150558472,0.41860464215278625,0.6000000238418579,0.4931506812572479,0.8567426800727844,0.4326174557209015,953,100,48,72,0.866057813167572,0.33980581164360046,0.6363636255264282,0.4430379867553711,0.8645727634429932,0.46481406688690186,1068,136,40,70
