model_name,fold,best_epoch,validate_accuracy,validate_precision,validate_recall,validate_f1,validate_auroc,validate_average_precision,validate_TN,validate_FP,validate_FN,validate_TP,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_average_precision,test_TN,test_FP,test_FN,test_TP
medicalnet-18-luna16double,1,5,0.8491048812866211,0.3475935757160187,0.5416666865348816,0.423452764749527,0.8386910557746887,0.33923211693763733,931,122,55,65,0.8409436941146851,0.2800000011920929,0.5727272629737854,0.3761194050312042,0.841430127620697,0.30523020029067993,1042,162,47,63
medicalnet-18-luna16double,2,1,0.9024389982223511,0.4318181872367859,0.1666666716337204,0.2405063360929489,0.8888888955116272,0.39872854948043823,1091,25,95,19,0.9101978540420532,0.3888888955116272,0.12727272510528564,0.19178082048892975,0.8249547481536865,0.31585291028022766,1182,22,96,14
medicalnet-18-luna16double,3,25,0.8969648480415344,0.4117647111415863,0.37837839126586914,0.39436620473861694,0.8565505743026733,0.3894086480140686,1081,60,69,42,0.8873668313026428,0.3303571343421936,0.33636364340782166,0.3333333432674408,0.8261929154396057,0.33812522888183594,1129,75,73,37
medicalnet-18-luna16double,4,30,0.8819095492362976,0.3726707994937897,0.6000000238418579,0.4597701132297516,0.8881261348724365,0.5283814668655396,993,101,40,60,0.866057813167572,0.31460675597190857,0.5090909004211426,0.3888888955116272,0.8136287331581116,0.3567621409893036,1082,122,54,56
medicalnet-34-luna16double,1,26,0.8550724387168884,0.3595505654811859,0.5333333611488342,0.42953020334243774,0.8366809487342834,0.3547043204307556,939,114,56,64,0.8729071617126465,0.33714285492897034,0.5363636612892151,0.4140350818634033,0.8464210033416748,0.3220446705818176,1088,116,51,59
medicalnet-34-luna16double,2,9,0.9081301093101501,0.5087719559669495,0.25438597798347473,0.3391812741756439,0.873616635799408,0.4041959047317505,1088,28,85,29,0.9101978540420532,0.43939393758773804,0.26363635063171387,0.3295454680919647,0.8461568355560303,0.3392181992530823,1167,37,81,29
medicalnet-34-luna16double,3,18,0.9025558829307556,0.4225352108478546,0.2702702581882477,0.32967033982276917,0.8473206758499146,0.37737250328063965,1100,41,81,30,0.9101978540420532,0.44594594836235046,0.30000001192092896,0.3586956560611725,0.8748565912246704,0.3757190704345703,1163,41,77,33
medicalnet-34-luna16double,4,27,0.927973210811615,0.75,0.20999999344348907,0.328125,0.8706033229827881,0.4950718879699707,1087,7,79,21,0.9162861704826355,0.5,0.16363635659217834,0.24657534062862396,0.8379870653152466,0.32807037234306335,1186,18,92,18
medicalnet-50-luna16double,1,15,0.8661551475524902,0.356589138507843,0.38333332538604736,0.36947789788246155,0.8241531252861023,0.37224280834198,970,83,74,46,0.8782343864440918,0.3310810923576355,0.44545453786849976,0.3798449635505676,0.84356689453125,0.3583720624446869,1105,99,61,49
medicalnet-50-luna16double,2,5,0.9154471755027771,0.5510203838348389,0.4736842215061188,0.5094339847564697,0.8880714178085327,0.49678730964660645,1072,44,60,54,0.8934550881385803,0.34375,0.30000001192092896,0.3203883469104767,0.848799467086792,0.3213038146495819,1141,63,77,33
medicalnet-50-luna16double,3,30,0.889776349067688,0.38842976093292236,0.4234234094619751,0.4051724076271057,0.85340815782547,0.40808600187301636,1067,74,64,47,0.8812785148620605,0.33571428060531616,0.4272727370262146,0.37599998712539673,0.8365147113800049,0.3214769661426544,1111,93,63,47
medicalnet-50-luna16double,4,21,0.9179229736328125,0.5092592835426331,0.550000011920929,0.5288461446762085,0.8871206641197205,0.5412343740463257,1041,53,45,55,0.8782343864440918,0.3046875,0.3545454442501068,0.32773110270500183,0.8400936126708984,0.31534093618392944,1115,89,71,39
resnet3d-18-luna16double,1,6,0.8491048812866211,0.35384616255760193,0.574999988079071,0.43809524178504944,0.8562915921211243,0.3491933047771454,927,126,51,69,0.8477929830551147,0.2954545319080353,0.5909090638160706,0.39393940567970276,0.8601102232933044,0.4102086126804352,1049,155,45,65
resnet3d-18-luna16double,2,22,0.8999999761581421,0.46853145956993103,0.5877193212509155,0.5214007496833801,0.8982974886894226,0.5697374939918518,1040,76,47,67,0.8858447670936584,0.36666667461395264,0.5,0.42307692766189575,0.8565236926078796,0.4162978529930115,1109,95,55,55
resnet3d-18-luna16double,3,9,0.884984016418457,0.4000000059604645,0.5945945978164673,0.47826087474823,0.8621250987052917,0.4171534478664398,1042,99,45,66,0.8554033637046814,0.30392158031463623,0.5636363625526428,0.3949044644832611,0.8536242842674255,0.42625048756599426,1062,142,48,62
resnet3d-18-luna16double,4,14,0.9162479043006897,0.5,0.6100000143051147,0.5495495200157166,0.8874862790107727,0.4730358123779297,1033,61,39,61,0.8957381844520569,0.40145984292030334,0.5,0.44534412026405334,0.8723120093345642,0.457425981760025,1122,82,55,55
resnet3d-34-luna16double,1,6,0.8388746976852417,0.3349282443523407,0.5833333134651184,0.42553192377090454,0.8529360890388489,0.39459502696990967,914,139,50,70,0.8417047262191772,0.2975206673145294,0.6545454263687134,0.40909090638160706,0.843951940536499,0.3698662221431732,1034,170,38,72
resnet3d-34-luna16double,2,14,0.9048780202865601,0.4871794879436493,0.5,0.4935064911842346,0.8931726813316345,0.5354681015014648,1056,60,57,57,0.8888888955116272,0.36567163467407227,0.44545453786849976,0.40163934230804443,0.8624131083488464,0.4206022620201111,1119,85,61,49
resnet3d-34-luna16double,3,20,0.9049520492553711,0.4583333432674408,0.3963963985443115,0.4251207709312439,0.8702496886253357,0.397426962852478,1089,52,67,44,0.8995434045791626,0.4140625,0.48181816935539246,0.4453781545162201,0.876517653465271,0.4491918087005615,1129,75,57,53
resnet3d-34-luna16double,4,12,0.8919597864151001,0.4000000059604645,0.5799999833106995,0.4734693765640259,0.8759140372276306,0.3965412378311157,1007,87,42,58,0.8622526526451111,0.3141361176967621,0.5454545617103577,0.39867109060287476,0.8309423327445984,0.35366618633270264,1073,131,50,60
resnet3d-50-luna16double,1,3,0.8755328059196472,0.3839285671710968,0.3583333194255829,0.37068966031074524,0.8725783228874207,0.41111811995506287,984,69,77,43,0.8843227028846741,0.3581081032752991,0.48181816935539246,0.41085270047187805,0.8676306009292603,0.41785532236099243,1109,95,57,53
resnet3d-50-luna16double,2,8,0.8739837408065796,0.4028435945510864,0.7456140518188477,0.5230769515037537,0.89854896068573,0.4933907687664032,990,126,29,85,0.844748854637146,0.30084747076034546,0.6454545259475708,0.41040462255477905,0.855164647102356,0.41472384333610535,1039,165,39,71
resnet3d-50-luna16double,3,12,0.8801916837692261,0.38596490025520325,0.5945945978164673,0.4680851101875305,0.866254448890686,0.42262500524520874,1036,105,45,66,0.8675799369812012,0.3350515365600586,0.5909090638160706,0.42763158679008484,0.8549984693527222,0.4034215211868286,1075,129,45,65
resnet3d-50-luna16double,4,6,0.8902847766876221,0.3973509967327118,0.6000000238418579,0.4780876636505127,0.871425986289978,0.3847057819366455,1003,91,40,60,0.8691020011901855,0.3258427083492279,0.5272727012634277,0.4027777910232544,0.8411356210708618,0.2953987717628479,1084,120,52,58
vivit_pretrained-luna16double,1,24,0.8755328059196472,0.3488371968269348,0.25,0.291262149810791,0.786008358001709,0.2944163680076599,997,56,90,30,0.8888888955116272,0.2906976640224457,0.22727273404598236,0.2551020383834839,0.7881003618240356,0.2573851943016052,1143,61,85,25
vivit_pretrained-luna16double,2,14,0.8999999761581421,0.4285714328289032,0.2368421107530594,0.3050847351551056,0.8514902591705322,0.34814614057540894,1080,36,87,27,0.891933023929596,0.2777777910232544,0.1818181872367859,0.21978022158145905,0.78531414270401,0.2525249123573303,1152,52,90,20
vivit_pretrained-luna16double,3,9,0.8969648480415344,0.4196428656578064,0.4234234094619751,0.42152467370033264,0.8303132653236389,0.3927231431007385,1076,65,64,47,0.8713850975036621,0.28776979446411133,0.3636363744735718,0.3212851285934448,0.7925098538398743,0.265871524810791,1105,99,70,40
vivit_pretrained-luna16double,4,18,0.8793969750404358,0.3333333432674408,0.4399999976158142,0.37931033968925476,0.8242869973182678,0.3879275918006897,1006,88,56,44,0.8698630332946777,0.25984251499176025,0.30000001192092896,0.27848100662231445,0.7698882818222046,0.22811797261238098,1110,94,77,33
