model_name,fold,best_epoch,validate_accuracy,validate_precision,validate_recall,validate_f1,validate_auroc,validate_average_precision,validate_TN,validate_FP,validate_FN,validate_TP,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_average_precision,test_TN,test_FP,test_FN,test_TP
fresh-medicalnet-18,1,34,0.6785714030265808,0.9354838728904724,0.3580246865749359,0.5178571343421936,0.767844557762146,0.7862991094589233,85,2,52,29,0.695652186870575,0.9473684430122375,0.3913043439388275,0.5538461804389954,0.8109280467033386,0.8318478465080261,338,7,196,126
fresh-medicalnet-18,2,24,0.6807228922843933,0.9655172228813171,0.3499999940395355,0.5137614607810974,0.7484011650085449,0.7900353074073792,85,1,52,28,0.6686656475067139,0.8531468510627747,0.3788819909095764,0.5247311592102051,0.7566657066345215,0.7713953256607056,324,21,200,122
fresh-medicalnet-18,3,36,0.5963855385780334,0.8823529481887817,0.1875,0.30927833914756775,0.7473837733268738,0.7529087066650391,84,2,65,15,0.6116941571235657,0.8620689511299133,0.23291926085948944,0.3667481541633606,0.7510127425193787,0.7456006407737732,333,12,247,75
fresh-medicalnet-18,4,34,0.688622772693634,0.8717948794364929,0.4197530746459961,0.5666666626930237,0.8020384907722473,0.8155663013458252,81,5,47,34,0.7001499533653259,0.8812500238418579,0.4378882050514221,0.5850622653961182,0.7842829823493958,0.8038952946662903,326,19,181,141
fresh-medicalnet-34,1,47,0.7142857313156128,0.9230769276618958,0.4444444477558136,0.6000000238418579,0.8077196478843689,0.8395611643791199,84,3,45,36,0.691154420375824,0.8918918967247009,0.40993788838386536,0.5617021322250366,0.7986227869987488,0.8096654415130615,329,16,190,132
fresh-medicalnet-34,2,46,0.5662650465965271,0.8999999761581421,0.11249999701976776,0.20000000298023224,0.7119186520576477,0.7244424819946289,85,1,71,9,0.5757121443748474,0.8823529481887817,0.13975155353546143,0.24128685891628265,0.7485372424125671,0.7448098659515381,339,6,277,45
fresh-medicalnet-34,3,22,0.6746987700462341,0.9333333373069763,0.3499999940395355,0.5090909004211426,0.8372092843055725,0.8309042453765869,84,2,52,28,0.6641679406166077,0.9016393423080444,0.34161490201950073,0.4954954981803894,0.8101809620857239,0.8091440796852112,333,12,212,110
fresh-medicalnet-34,4,43,0.5928143858909607,0.8823529481887817,0.18518517911434174,0.30612245202064514,0.7634223699569702,0.7849119305610657,84,2,66,15,0.5877061486244202,0.8983050584793091,0.16459627449512482,0.278215229511261,0.7570168375968933,0.768955647945404,339,6,269,53
fresh-medicalnet-50,1,28,0.648809552192688,0.9583333134651184,0.2839506268501282,0.43809524178504944,0.8122605085372925,0.8309476971626282,86,1,58,23,0.6476761698722839,0.9677419066429138,0.27950310707092285,0.4337349534034729,0.787316620349884,0.8163201808929443,342,3,232,90
fresh-medicalnet-50,2,9,0.5542168617248535,1.0,0.07500000298023224,0.13953489065170288,0.765552282333374,0.7956477403640747,86,0,74,6,0.5787106156349182,0.9767441749572754,0.1304347813129425,0.23013699054718018,0.7772976756095886,0.8004592657089233,344,1,280,42
